point_key,entity_type,entity_key,route_key,step_key,location_key,name,world_x,world_y,relation_type,accuracy_level,accuracy_score,route_priority,is_primary,is_verified,spoiler_level,notes,source_key
step_clear_trevo_mine,route_step,clear_trevo_mine,fighter_op_fast_manual,clear_trevo_mine,trevo_mine,Trevo Mine clear routepunt,959,1382,combat_area,estimated_medium,65,80,1,0,1,Grove binnenlocatie voor mijnroute. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_collect_greatsword,route_step,collect_greatsword,fighter_op_fast_manual,collect_greatsword,trevo_mine,Two-Hander chest routepunt,949,1373,loot_target,estimated_high,74,100,1,0,1,Exacte chestpositie nog in-game verifiëren. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_collect_archistaff,route_step,collect_archistaff,fighter_op_fast_manual,collect_archistaff,trevo_mine,Grievous Horns chest routepunt,966,1390,loot_target,estimated_high,74,100,1,0,1,Exacte chestpositie nog in-game verifiëren. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_exit_trevo_mine,route_step,exit_trevo_mine,fighter_op_fast_manual,exit_trevo_mine,trevo_mine,Trevo Mine uitgang,984,1401,dungeon_exit,estimated_high,76,82,1,0,1,Voorlopig zelfde als ingang tot extra exits bekend zijn. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_unlock_warrior_sorcerer,route_step,unlock_warrior_sorcerer,fighter_op_fast_manual,unlock_warrior_sorcerer,vernworth_vocation_guild,Lever wapens in bij Klaus,1210,1328,unlock_target,estimated_high,82,100,1,0,1,Warrior/Sorcerer unlock target. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_two_hander_chest,item,two_hander,,,trevo_mine,Two-Hander chest,949,1373,chest,estimated_high,74,100,1,0,1,Questitem voor Warrior unlock; exacte chestpositie later verifiëren. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_grievous_horns_chest,item,grievous_horns,,,trevo_mine,Grievous Horns chest,966,1390,chest,estimated_high,74,100,1,0,1,Questitem voor Sorcerer unlock; exacte chestpositie later verifiëren. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_ferrystone_trevo_mine,item,ferrystone,,,trevo_mine,Ferrystone pickup in Trevo Mine,956,1384,loot,estimated_medium,62,70,1,0,1,Optional Trevo Mine loot; exact container later verifiëren. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_ring_of_cooling_trevo_mine,item,ring_of_cooling,,,trevo_mine,Ring of Cooling chest,963,1399,chest,estimated_medium,62,68,1,0,1,Optional accessory marker binnen Trevo Mine. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_signs_of_valor_trevo_mine,item,signs_of_valor,,,trevo_mine,Signs of Valor loot,953,1393,loot,estimated_medium,60,54,1,0,1,Optional Trevo Mine loot. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_rangers_tights_trevo_mine,item,rangers_tights,,,trevo_mine,Ranger's Tights loot,945,1386,loot,estimated_medium,60,50,1,0,1,Optional Trevo Mine loot. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_jasper_trevo_mine,item,jasper,,,trevo_mine,Jasper pickup,975,1378,loot,estimated_low,45,38,1,0,1,Value loot; low-priority exact point. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_explosive_arrow_trevo_mine,item,explosive_arrow,,,trevo_mine,Explosive Arrow pickup,970,1407,loot,estimated_low,45,35,1,0,1,Ammunition loot; low priority for Fighter OP. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_gtb_martyrs_resting_place_tree,item,golden_trove_beetle,,,gtb_martyrs_resting_place_tree,Golden Trove Beetle - Martyr road,1171,1924,collectible_node,estimated_medium,60,80,0,0,1,Sprint 3I starter marker; exact tree/branch position with calibration mode later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,community_crosscheck
item_gtb_melve_south_road_tree,item,golden_trove_beetle,,,gtb_melve_south_road_tree,Golden Trove Beetle - Melve south road,1084,1775,collectible_node,estimated_medium,60,72,0,0,1,Sprint 3I starter marker; exact tree/branch position with calibration mode later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,community_crosscheck
item_gtb_melve_east_path_tree,item,golden_trove_beetle,,,gtb_melve_east_path_tree,Golden Trove Beetle - Melve east path,1217,1839,collectible_node,estimated_medium,60,72,0,0,1,Sprint 3I starter marker; exact tree/branch position with calibration mode later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,community_crosscheck
item_gtb_vernworth_north_road_tree,item,golden_trove_beetle,,,gtb_vernworth_north_road_tree,Golden Trove Beetle - Vernworth north road,1365,1640,collectible_node,estimated_medium,60,70,0,0,1,Sprint 3I starter marker; exact tree/branch position with calibration mode later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,community_crosscheck
item_gtb_vernworth_west_road_tree,item,golden_trove_beetle,,,gtb_vernworth_west_road_tree,Golden Trove Beetle - Vernworth west road,1281,1619,collectible_node,estimated_medium,60,68,0,0,1,Sprint 3I starter marker; exact tree/branch position with calibration mode later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,community_crosscheck
item_gtb_trevo_mine_approach_tree,item,golden_trove_beetle,,,gtb_trevo_mine_approach_tree,Golden Trove Beetle - Trevo Mine approach,1139,1682,collectible_node,estimated_medium,60,65,0,0,1,Sprint 3I starter marker; exact tree/branch position with calibration mode later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,community_crosscheck
item_gtb_checkpoint_rest_road_tree,item,golden_trove_beetle,,,gtb_checkpoint_rest_road_tree,Golden Trove Beetle - Checkpoint Rest road,583,1286,collectible_node,estimated_medium,60,45,0,0,1,Sprint 3I starter marker; exact tree/branch position with calibration mode later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,community_crosscheck
item_gtb_bakbattahl_north_road_tree,item,golden_trove_beetle,,,gtb_bakbattahl_north_road_tree,Golden Trove Beetle - Bakbattahl north road,1053,976,collectible_node,estimated_medium,60,40,0,0,1,Sprint 3I starter marker; exact tree/branch position with calibration mode later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,community_crosscheck
item_newt_liqueur_higgs,item,newt_liqueur,,,higgs_tavern_stand,Newt Liqueur source - Higg's Tavern Stand,597,841,vendor_source,estimated_high,72,70,1,0,2,Vendor/source point around Higg's Tavern Stand. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_newt_liqueur_earland,item,newt_liqueur,,,earland_bakbattahl_east_stall,Newt Liqueur source - Earland,1113,779,vendor_source,estimated_medium,62,58,0,0,2,East Bakbattahl merchant source; verify availability. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,gamesradar
item_newt_liqueur_lab,item,newt_liqueur,,,forbidden_magick_research_lab,Newt Liqueur pickup - Research Lab,662,831,pickup,estimated_medium,58,52,0,0,2,Lab source; exact room later. Source-map gekalibreerd via manual_screen_calibration (manual). Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
item_newt_liqueur_windwalker,item,newt_liqueur,,,windwalkers_home,Newt Liqueur context - Windwalker's Home,705,592,quest_context,estimated_medium,58,45,0,0,2,Related to Gautstafr/Magick Archer route context. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_portcrystal_forest_griffin_nest,item,portcrystal,,,forested_griffin_nest,Portcrystal - Forested Griffin's Nest,963,1378,pickup,estimated_medium,60,72,1,0,2,Portable Portcrystal source; exact nest position later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_portcrystal_trial_archery_reward,item,portcrystal,,,ancestral_chamber,Portcrystal - A Trial of Archery reward route,976,1755,quest_reward,estimated_medium,56,55,0,0,2,Quest reward route context; exact reward hand-in later. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
item_portcrystal_feast_deception_reward,item,portcrystal,,,stardrop_inn,Portcrystal - Feast of Deception reward route,1202,1331,quest_reward,estimated_low,50,50,0,0,2,Main quest reward context around Brant/Stardrop Inn. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,powerpyx
item_portcrystal_dragonforged,item,portcrystal,,,dragonforged,Portcrystal - Dragonforged purchase,717,978,vendor_purchase,estimated_medium,58,50,0,0,2,Purchase/source point at Dragonforged. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_klaus_exact,npc,klaus,,,vernworth_vocation_guild,Klaus - Vocation Guild desk,1210,1328,npc_position,estimated_high,70,88,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_roderick_exact,npc,roderick,,,rodericks_smithy,Roderick - Smithy counter,1212,1324,npc_position,estimated_high,70,82,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_brant_exact,npc,brant,,,stardrop_inn,Captain Brant - Stardrop Inn,1202,1331,npc_position,estimated_high,70,70,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_glyndwr_exact,npc,glyndwr,,,rodericks_smithy,Glyndwr - Vernworth/Roderick area,1216,1328,npc_position,estimated_high,70,52,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_earland_exact,npc,earland,,,earland_bakbattahl_east_stall,Earland - East Bakbattahl stall,1113,779,npc_position,estimated_high,70,48,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,gamesradar
npc_ibrahim_exact,npc,ibrahim,,,ibrahims_scrap_store,Ibrahim - Scrap Store,370,1287,npc_position,estimated_high,70,50,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,siliconera
npc_lamond_exact,npc,lamond,,,volcanic_island_hot_springs,Lamond - Hot Springs,936,608,npc_position,estimated_high,70,60,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_dragonforged_npc_exact,npc,dragonforged_npc,,,dragonforged,Dragonforged,717,978,npc_position,estimated_high,70,55,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_gautstafr_exact,npc,gautstafr,,,windwalkers_home,Gautstafr - Windwalker's Home,705,592,npc_position,estimated_high,70,55,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_cliodhna_exact,npc,cliodhna,,,windwalkers_home,Cliodhna - Windwalker's Home,708,594,npc_position,estimated_high,70,55,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_luz_exact,npc,luz,,,reverent_shrine,Luz - Reverent Shrine,490,986,npc_position,estimated_high,70,55,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
npc_sigurd_exact,npc,sigurd,,,melve,Sigurd - Melve opportunity,1110,1712,npc_position,estimated_high,70,60,1,0,1,NPC exact point v0.1; verify in-game when possible. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vendor_vernworth_vocation_guild_exact,vendor,vernworth_vocation_guild,,,vernworth_vocation_guild,Vernworth Vocation Guild desk,1210,1328,vendor_position,estimated_high,70,50,1,0,1,Vendor exact point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vendor_rodericks_smithy_exact,vendor,rodericks_smithy,,,rodericks_smithy,Roderick's Smithy counter,1212,1324,vendor_position,estimated_high,70,50,1,0,1,Vendor exact point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vendor_higgs_tavern_stand_exact,vendor,higgs_tavern_stand,,,higgs_tavern_stand,Higg's Tavern Stand counter,597,841,vendor_position,estimated_high,70,50,1,0,1,Vendor exact point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vendor_earland_bakbattahl_exact,vendor,earland_bakbattahl,,,earland_bakbattahl_east_stall,Earland shop spot,1113,779,vendor_position,estimated_high,70,50,1,0,1,Vendor exact point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,gamesradar
vendor_ibrahims_scrap_store_exact,vendor,ibrahims_scrap_store,,,ibrahims_scrap_store,Ibrahim's Scrap Store counter,370,1287,vendor_position,estimated_high,70,50,1,0,1,Vendor exact point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,siliconera
vendor_dragonforged_vendor_exact,vendor,dragonforged_vendor,,,dragonforged,Dragonforged vendor point,717,978,vendor_position,estimated_high,70,50,1,0,1,Vendor exact point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
quest_vocation_frustration_exact,quest,vocation_frustration,,,vernworth_vocation_guild,Vocation Frustration start/turn-in,1210,1328,quest_context,estimated_high,68,95,1,0,2,Quest exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
quest_monster_culling_exact,quest,monster_culling,,,stardrop_inn,Monster Culling - Brant start,1202,1331,quest_context,estimated_high,68,40,1,0,2,Quest exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
quest_gift_of_the_bow_exact,quest,gift_of_the_bow,,,rodericks_smithy,Gift of the Bow start context,1216,1328,quest_context,estimated_high,68,45,1,0,2,Quest exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
quest_a_trial_of_archery_exact,quest,a_trial_of_archery,,,ancestral_chamber,A Trial of Archery objective area,976,1755,quest_context,estimated_high,68,45,1,0,2,Quest exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
quest_the_sotted_sage_exact,quest,the_sotted_sage,,,volcanic_island_hot_springs,The Sotted Sage - Lamond,936,608,quest_context,estimated_high,68,45,1,0,2,Quest exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
quest_put_a_spring_in_thy_step_exact,quest,put_a_spring_in_thy_step,,,windwalkers_home,Put a Spring in Thy Step start,705,592,quest_context,estimated_high,68,45,1,0,2,Quest exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
quest_feast_of_deception_exact,quest,feast_of_deception,,,stardrop_inn,Feast of Deception - Brant route context,1202,1331,quest_context,estimated_high,68,35,1,0,2,Quest exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,powerpyx
vocation_warrior_unlock_exact,vocation,warrior,,,vernworth_vocation_guild,Warrior unlock - Klaus,1210,1328,unlock_point,estimated_high,70,55,1,0,2,Vocation unlock exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vocation_sorcerer_unlock_exact,vocation,sorcerer,,,vernworth_vocation_guild,Sorcerer unlock - Klaus,1210,1328,unlock_point,estimated_high,70,55,1,0,2,Vocation unlock exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vocation_mystic_spearhand_unlock_exact,vocation,mystic_spearhand,,,melve,Mystic Spearhand unlock opportunity - Sigurd,1110,1712,unlock_point,estimated_high,70,55,1,0,2,Vocation unlock exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vocation_trickster_unlock_exact,vocation,trickster,,,reverent_shrine,Trickster unlock - Luz,490,986,unlock_point,estimated_high,70,55,1,0,2,Vocation unlock exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vocation_magick_archer_unlock_exact,vocation,magick_archer,,,windwalkers_home,Magick Archer unlock - Cliodhna route,708,594,unlock_point,estimated_high,70,55,1,0,2,Vocation unlock exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
vocation_warfarer_unlock_exact,vocation,warfarer,,,volcanic_island_hot_springs,Warfarer unlock - Lamond,936,608,unlock_point,estimated_high,70,55,1,0,2,Vocation unlock exact/context point v0.1. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
objective_vocation_frustration_two_hander,quest_objective,collect_two_hander,fighter_op_fast_manual,collect_greatsword,trevo_mine,Objective: collect Two-Hander,949,1373,objective_target,estimated_high,74,100,1,0,1,Quest objective point for Vocation Frustration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
objective_vocation_frustration_grievous_horns,quest_objective,collect_grievous_horns,fighter_op_fast_manual,collect_archistaff,trevo_mine,Objective: collect Grievous Horns,966,1390,objective_target,estimated_high,74,100,1,0,1,Quest objective point for Vocation Frustration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
objective_vocation_frustration_return_klaus,quest_objective,return_weapons_to_klaus,fighter_op_fast_manual,unlock_warrior_sorcerer,vernworth_vocation_guild,Objective: return weapons to Klaus,1210,1328,objective_target,estimated_high,82,100,1,0,1,Turn-in point for Warrior/Sorcerer unlock. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_borderwatch_sidequest_warning_act1,route_step,borderwatch_sidequest_warning,fighter_op_fast_manual,borderwatch_sidequest_warning,borderwatch_outpost,Borderwatch sidequest-keuze - exact routepunt,1170,1851,step_target,estimated_high,70,45,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,fextralife
step_complete_in_dragons_wake_melve_act1,route_step,complete_in_dragons_wake_melve,fighter_op_fast_manual,complete_in_dragons_wake_melve,melve,Rond Melve-story af - exact routepunt,1104,1710,step_target,estimated_high,70,65,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_secure_melve_checkpoint_act1,route_step,secure_melve_checkpoint,fighter_op_fast_manual,secure_melve_checkpoint,melve,Zet Melve op de route vast - exact routepunt,1104,1710,step_target,estimated_high,70,65,1,0,0,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_travel_melve_to_vernworth_act1,route_step,travel_melve_to_vernworth,fighter_op_fast_manual,travel_melve_to_vernworth,vernworth,Reis richting Vernworth - exact routepunt,1205,1327,step_target,estimated_high,70,70,1,0,0,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_meet_brant_stardrop_act1,route_step,meet_brant_stardrop,fighter_op_fast_manual,meet_brant_stardrop,stardrop_inn,Spreek Brant in Stardrop Inn - exact routepunt,1202,1331,step_target,estimated_high,70,82,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_set_vernworth_hub_rules_act1,route_step,set_vernworth_hub_rules,fighter_op_fast_manual,set_vernworth_hub_rules,vernworth,Zet Vernworth hub-regels - exact routepunt,1205,1327,step_target,estimated_high,70,78,1,0,0,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,own_calibration
step_accept_disa_plot_act1,route_step,accept_disa_plot,fighter_op_fast_manual,accept_disa_plot,stardrop_inn,Start Disa's Plot - exact routepunt,1202,1331,step_target,estimated_high,70,80,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_complete_disa_plot_act1,route_step,complete_disa_plot,fighter_op_fast_manual,complete_disa_plot,vernworth_castle_offices,Voltooi Disa's Plot - exact routepunt,1221,1317,step_target,estimated_high,70,86,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_accept_monster_culling_act1,route_step,accept_monster_culling,fighter_op_fast_manual,accept_monster_culling,stardrop_inn,Start Monster Culling - exact routepunt,1202,1331,step_target,estimated_high,70,90,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_travel_to_trevo_mine_act1,route_step,travel_to_trevo_mine,fighter_op_fast_manual,travel_to_trevo_mine,trevo_mine,Reis naar Trevo Mine - exact routepunt,960,1381,step_target,estimated_high,70,92,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_confirm_trevo_monster_culling_act1,route_step,confirm_trevo_monster_culling,fighter_op_fast_manual,confirm_trevo_monster_culling,trevo_mine,Vink Trevo af voor Monster Culling - exact routepunt,960,1381,step_target,estimated_high,70,92,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_travel_trevo_to_harve_act1,route_step,travel_trevo_to_harve,fighter_op_fast_manual,travel_trevo_to_harve,harve_village,Ga door naar Harve Village - exact routepunt,907,1228,step_target,estimated_high,70,78,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_clear_stormwind_cave_harve_act1,route_step,clear_stormwind_cave_harve,fighter_op_fast_manual,clear_stormwind_cave_harve,stormwind_cave,Red soldaten in Stormwind Cave - exact routepunt,909,1198,step_target,estimated_high,70,86,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
step_clear_eastern_vermund_soldiers_act1,route_step,clear_eastern_vermund_soldiers,fighter_op_fast_manual,clear_eastern_vermund_soldiers,eastern_vermund_soldier_site,Red soldaten in Oost-Vermund - exact routepunt,1474,1525,step_target,estimated_high,70,84,1,0,1,Sprint 4B estimated Act 1 objective point; refine with in-game calibration. Stabiel herberekend via Sprint 4B.5 (shift-with-linked-location) met 29 kalibratiepunten.,game8
